>> .show netypes
The value DEPRECATED in the second column means that
the NE type is old and should no longer be used.
It is not shown by the Create NE dialogue in the GUI.

The value TEMPLATE-BASED in the second colum means that
the NE type has been created from a template.

If the NE type name starts with "TEMPLATE",
the NE type can only be used to create other NE types.
NE type templates are not shown by the Create NE
dialogue, but the NE types created from them are.

ACME 4-0                                     ACME 4.0
MGC 6-1                                      Integrated Site SIS 1.1
MGw 1-2                                      Integrated Site SIS 1.1
MGw 3-1                                      Integrated Site SIS 1.1
MSC-S-IS 2-0                                 Integrated Site SIS 2.0
PRBS 17B-LTE-WCDMA-V3            TEMPLATE-BASED PRBS 17B-LTE-WCDMA V3
SBG 15B                                      Integrated Site SIS 1.1
SBG 16B                                      Integrated Site SIS 1.1
SBG 3-0                                      Integrated Site SIS 1.1
SBG 3-1                                      Integrated Site SIS 1.1
TGC 2-0                                      Integrated Site SIS 1.1
TGC 3-0                                      Integrated Site SIS 1.1
TEMPLATE IS IS-1-2                           IS 1.2
TEMPLATE IS IS-2-0                           IS 2.0
TEMPLATE IS IS-3-1                           IS 3.1
TEMPLATE IS IS-5-5                           IS 5.5
TEMPLATE IS IS-8-1                           IS 8.1
TEMPLATE IS IS-8-3                           IS 8.3
TEMPLATE MGC 11B                             Integrated Site SIS 3.1
TEMPLATE MGC 11B-FD1                         Integrated Site SIS 3.1
TEMPLATE MGC 12A                             Integrated Site SIS 3.1
TEMPLATE MGC 12A-CP2                         Integrated Site SIS 3.1
TEMPLATE MGC 13A                             Integrated Site SIS 3.1
TEMPLATE MGC 13B                             Integrated Site SIS 3.1
TEMPLATE MGC 14A                             Integrated Site SIS 3.1
TEMPLATE MGC 14B                             Integrated Site SIS 3.1
TEMPLATE MGC 15A                             Integrated Site SIS 3.1
TEMPLATE MGC 16A                             Integrated Site SIS 3.1
TEMPLATE MGC 16B                             Integrated Site SIS 3.1
TEMPLATE MGC 17A                             Integrated Site SIS 8.1
TEMPLATE MGC 17B                             Integrated Site SIS 8.3
TEMPLATE MGC 6-1                             Integrated Site SIS 3.1
TEMPLATE MGC 6-1-FD1                         Integrated Site SIS 3.1
TEMPLATE MGW 2-0-FD2                         Integrated Site SIS 2.0
TEMPLATE SBG 12A                             Integrated Site SIS 3.1
TEMPLATE SBG 12B                             Integrated Site SIS 3.1
TEMPLATE SBG 13A                             Integrated Site SIS 3.1
TEMPLATE SBG 13B                             Integrated Site SIS 3.1
TEMPLATE SBG 14A                             Integrated Site SIS 3.1
TEMPLATE SBG 14B                             Integrated Site SIS 3.1
TEMPLATE SBG 15A                             Integrated Site SIS 3.1
TEMPLATE SBG 15B                             Integrated Site SIS 3.1
TEMPLATE SBG 16A                             Integrated Site SIS 3.1
TEMPLATE SBG 16B                             Integrated Site SIS 3.1
TEMPLATE SBG 17A                             Integrated Site SIS 5.5
TEMPLATE SBG 3-0-FD1                         Integrated Site SIS 1.2
TEMPLATE SBG 3-1-FD1                         IS 3.1-FD1
TEMPLATE SBG 4-0                             Integrated Site SIS 3.1
TEMPLATE SBG 5-3                             Integrated Site SIS 3.1
TEMPLATE SBG 5-4                             Integrated Site SIS 3.1
TEMPLATE TGC 3-5                             Integrated Site SIS 1.2
TEMPLATE TGC 4-0                             Integrated Site SIS 1.2
ERBS H1160-V2lim                 TEMPLATE-BASED LTE ERBS MIM H.1.160 CPP 9.0
MSRBS-V2 17A-V10                 TEMPLATE-BASED MSRBS-V2 17A V10
TEMPLATE 5GRadioNode 17B                     5G RadioNode
TEMPLATE 5GRadioNode 18A                     5G RadioNode
TEMPLATE AXE_BSC 18A                         AXE_V1 18A BSC
TEMPLATE BSC 17-Q3                           BSC 17.Q3
TEMPLATE BSC 17B                             BSC 17B
TEMPLATE ERBS CPP-6-1                        CPP 6.1
TEMPLATE ERBS CPP-7-0                        CPP 7.0
TEMPLATE ERBS CPP-8-0                        CPP 8.0
TEMPLATE ERBS CPP-9-0                        CPP 9.0
FrontHaul-6080 17B                           FrontHaul-6080_17B
TEMPLATE HP-NFVO 17B                         HP-NFVO 17A
TEMPLATE MSRBS_V2 15B                        MSRBS_V2 15B SSR
TEMPLATE MSRBS_V2 15B-LTE                    MSRBS_V2 15B LTE SSR
TEMPLATE MSRBS_V2 16A                        MSRBS_V2 15B SSR
TEMPLATE MSRBS_V2 16B                        MSRBS_V2 15B SSR
TEMPLATE MSRBS_V2 17-Q1                      MSRBS_V2 17-Q1 SSR
TEMPLATE MSRBS_V2 17-Q2                      MSRBS_V2 17-Q2 SSR
TEMPLATE MSRBS_V2 17-Q3                      MSRBS_V2 17-Q3 SSR
TEMPLATE MSRBS_V2 17-Q4                      MSRBS_V2 17-Q4 SSR
TEMPLATE MSRBS_V2 17A                        MSRBS_V2 15B SSR
TEMPLATE MSRBS_V2 17A-RUI                    MSRBS-V2 17A-RUI
TEMPLATE MSRBS_V2 17B                        MSRBS_V2 15B SSR
TEMPLATE MSRBS_V2 17B-RUI                    MSRBS-V2 17B-RUI
TEMPLATE MSRBS_V2 71A-UPGIND                 MSRBS_V2 71A-UPGIND
TEMPLATE PRBS 13A-LTE                        no_value
TEMPLATE PRBS 13B-LTE                        no_value
TEMPLATE PRBS 14A-LTE                        no_value
TEMPLATE PRBS 14B-LTE                        no_value
TEMPLATE PRBS 15B-LTE                        no_value
TEMPLATE PRBS 16A-LTE                        no_value
TEMPLATE PRBS 61A-UPGIND-LTE                 no_value
TEMPLATE RAN-VNFM 17A                        RAN-VNFM 17A
TEMPLATE RAN-VNFM 18A                        RAN-VNFM 18A
TEMPLATE RANOS FOR-CPP-7-0-ERBS
TEMPLATE RANOS FOR-CPP-8-0-ERBS
TEMPLATE RANOS FOR-CPP-9-0-ERBS
TEMPLATE RNNODE 17A                          RNNODE 17A
TEMPLATE RNNODE 17B                          RNNODE 17B
TEMPLATE RNNODE 18A                          RNNODE 18A
TEMPLATE RNNODE 71A-UPGIND                   RNNODE 71A-UPGIND
TEMPLATE VTFRadioNode 17B                    VTF RadioNode
TEMPLATE VTFRadioNode 18A                    VTF RadioNode
TEMPLATE vPP 17A                             vPP 17A
TEMPLATE vPP 17B                             vPP 17B
TEMPLATE vPP 18A                             vPP 18A
TEMPLATE vPP 71A                             vPP 71A
TEMPLATE vRC 17A                             vRC 17A
TEMPLATE vRC 17B                             vRC 17B
TEMPLATE vRC 18A                             vRC 18A
TEMPLATE vRC 71A                             vRC 71A
TEMPLATE vSD 17B                             vSD 17B
TEMPLATE vSD 18A                             vSD 18A
MN-OSS NB                                    Northbound interface of MN-OSS
OSS FOR-OSS-RC                               Simulated OSS for testing OSS-RC NEs
OSS-RC R7                                    Simulated OSS-RC R7
TEMPLATE Colocated-EPG-EPDG 14B-             no_value
TEMPLATE Colocated_EPG_EPDG 14B-             no_value
TEMPLATE ESASN 14A-SSR                       no_value
TEMPLATE ESASN 14B-SSR                       no_value
TEMPLATE ESASN 15B-SSR                       no_value
TEMPLATE ESASN 16A-CP02-SSR                  no_value
TEMPLATE ESASN 16A-SSR                       no_value
TEMPLATE ESASN 16B-SSR                       no_value
TEMPLATE MultiApp 14B-SSR                    no_value
SAN R2                                       SAN R2 on AST-CM
SDN 1-0                                      SDN 1.0
SPNOVA 1-0                                   SPNOVA 1.0
OSS FOR-FTP                                  Test server for FTP-client nodes
OSS FOR-SSH                                  Test client for SSH-based nodes
TEST SSH                                     Test NE for SSH
OSS FOR-APG40                                Simulated OSS suitable for communication with APG40 NEs
OSS FOR-IOG20                                Simulated OSS suitable for communication with IOG20 NEs
AXE AXE10602-AXE                             AXE 106 02 + WCDMA CN5.0 - APZ 212 40/54
AXE AXE10606-AXE                             AXE 106 06 + WCDMA CN5.0 - APZ 212 40/54
AXE AXE106108-AXE                            AXE 106 108 + WCDMA CN5.0 - APZ 212 40/54
AXE AXE106109-AXE                            AXE 106 109 + WCDMA CN5.0 - APZ 212 40/54
AXE AXE106113-AXE                            AXE 106 113 + WCDMA CN5.0 - APZ 212 40/54
AXE AXE106117-AXE                            AXE 106 117 + WCDMA CN5.0 - APZ 212 40/54
AXE AXE106119-AXE                            AXE 106 119 + WCDMA CN5.0 - APZ 212 40/54
AXE AXE106120-AXE                            AXE 106 120 + WCDMA CN5.0 - APZ 212 40/54
AXE AXE106120-IOG20                          AXE 106 120 + WCDMA CN5.0 - APZ 212 33/53 - IOG 20
EIR 1-1                                      EIR 1.1 on ESA
EIR 1-3                                      EIR 1.3 on ESA
EIR 14B                                      EIR 14B on EBS
EIR 16B                                      EIR 16B on EBS
EIR 17A                                      EIR 17A on EBS
EIR-FE 1-1                                   EIR-FE 1.1 on ESA
EIR-FE 14B                                   EIR-FE 14B on EBS
EIR-FE R1                                    EIR-FE R1 on EBS
ALARM-EXP CPP                                EXPERIMENTAL CPP NE FOR ALARM SENDING
NMS FMR6
NMS INC6
NMS WEGA                                     NMS for OSS RC R2 and later
NMS WILMAINC2
NMS WILMAINC3
OCC 1-0                                      CPP 8.0
OCC 2-6-0                                    CPP-OCC 9.0
OCC 3-0                                      CPP-OCC 9.0
OCC 3-1-0                                    CPP-OCC 3.1.0
RANOSNMS FMR6
RANOSNMS INC6
RANOSNMS WEGA
RANOSNMS WILMAINC2
RANOSNMS WILMAINC3
TEMPLATE DSC 13A-WCDMA                       no_value
TEMPLATE DSC 14A-WCDMA                       no_value
TEMPLATE DSC 15A-WCDMA                       no_value
TEMPLATE DSC 15B-WCDMA                       no_value
TEMPLATE DSC 16A-WCDMA                       no_value
TEMPLATE DSC 16B-WCDMA                       no_value
TEMPLATE DSC 17A-WCDMA                       no_value
TEMPLATE DSC 17B-WCDMA                       no_value
TEMPLATE EME 1-0-WCDMA                       no_value
TEMPLATE EME 1-1-WCDMA                       no_value
TEMPLATE EME 16A-WCDMA                       no_value
TEMPLATE EME 16B-WCDMA                       no_value
TEMPLATE EME 17A-WCDMA                       no_value
TEMPLATE EPG-WMG 15B                         no_value
TEMPLATE EPG-WMG 16B                         no_value
TEMPLATE M-MGw CELLO-4-3                     M-MGw 3.X CPP 4.3
TEMPLATE M-MGw CPP-5-0                       M-MGw R4.0 CPP 5.0
TEMPLATE M-MGw CPP-5-1                       M-MGw R4.1/R4.2 CPP 5.1
TEMPLATE M-MGw CPP-6-0                       M-MGw R5.0 CPP 6.0
TEMPLATE M-MGw CPP-6-1                       M-MGw R5.0/R5.1 CPP 6.1
TEMPLATE M-MGw CPP-7-0                       M-MGw R6.0 CPP 7.0
TEMPLATE M-MGw CPP-8-0                       M-MGw R6.1 CPP 8.0
TEMPLATE M-MGw CPP-9-0                       M-MGw R6.1 CPP 9.0
TEMPLATE PRBS 13A-WCDMA                      no_value
TEMPLATE PRBS 13B-WCDMA                      no_value
TEMPLATE PRBS 14A-WCDMA                      no_value
TEMPLATE PRBS 14B-WCDMA                      no_value
TEMPLATE PRBS 15A-WCDMA                      no_value
TEMPLATE PRBS 15B-WCDMA                      no_value
TEMPLATE PRBS 16A-WCDMA                      no_value
TEMPLATE PRBS 16B-WCDMA                      no_value
TEMPLATE PRBS 17A-LTE-WCDMA                  no_value
TEMPLATE PRBS 17B-LTE-WCDMA                  no_value
TEMPLATE RANOS FOR-CELLO-4
TEMPLATE RANOS FOR-CPP-5-0
TEMPLATE RANOS FOR-CPP-5-1
TEMPLATE RANOS FOR-CPP-6-0
TEMPLATE RANOS FOR-CPP-6-1
TEMPLATE RANOS FOR-CPP-7-0
TEMPLATE RANOS FOR-CPP-8-0
TEMPLATE RANOS FOR-CPP-9-0
TEMPLATE RBS CELLO-4-3                       CPP 4.3
TEMPLATE RBS CPP-5-0                         CPP 5.0
TEMPLATE RBS CPP-5-1                         CPP 5.1
TEMPLATE RBS CPP-6-0                         CPP 6.0
TEMPLATE RBS CPP-6-1                         CPP 6.1
TEMPLATE RBS CPP-7-0                         CPP 7.0
TEMPLATE RBS CPP-8-0                         CPP 8.0
TEMPLATE RBS CPP-9-0                         CPP 9.0
TEMPLATE RBS G2-WCDMA                        no_value
TEMPLATE RNC CELLO-4-3                       CPP 4.3
TEMPLATE RNC CPP-5-0                         CPP 5.0
TEMPLATE RNC CPP-5-1                         CPP 5.1
TEMPLATE RNC CPP-6-0                         CPP 6.0
TEMPLATE RNC CPP-6-1                         CPP 6.1
TEMPLATE RNC CPP-7-0                         CPP 7.0
TEMPLATE RNC CPP-8-0                         CPP 8.0
TEMPLATE RNC CPP-9-0                         CPP 9.0
TEMPLATE RXI CELLO-4-3                       CPP 4.3
TEMPLATE RXI CPP-5-0                         CPP 5.0
TEMPLATE RXI CPP-5-1                         CPP 5.1
TEMPLATE RXI CPP-6-0                         CPP 6.0
TEMPLATE RXI CPP-6-1                         CPP 6.1
TEMPLATE RXI CPP-7-0                         CPP 7.0
TEMPLATE RXI CPP-8-0                         CPP 8.0
TEMPLATE RXI CPP-9-0                         CPP 9.0
SGSN 16A-CP01-WPP-V1             TEMPLATE-BASED SGSN 16A-CP01-WPP V1
TEMPLATE SGSN 1-5-WPP                        ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 1-6-WPP                        ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 13B-WPP                        ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 14A-WPP                        ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 15A-WPP                        ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 15B-CP01-WPP                   ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 15B-WPP                        ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 16A-CP01-WPP                   ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 16A-CP02-WPP                   ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 16A-CP03-WPP                   ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 16A-CP04-WPP                   ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 16A-CP06-WPP                   ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 16A-CP07-WPP                   ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 16A-CP08-WPP                   ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 16A-CP09-WPP                   ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 16A-WPP                        ECIM based SGSN 13B with SNMP and SSH support
TEMPLATE SGSN 16A_CP03-WPP                   ECIM based SGSN 13B with SNMP and SSH support
ERBS G1101-lim                   TEMPLATE-BASED LTE ERBS MIM G.1.101 CPP 9.0
ERBS G1123-lim                   TEMPLATE-BASED LTE ERBS MIM G.1.123 CPP 9.0
ERBS G1132-lim                   TEMPLATE-BASED LTE ERBS MIM G.1.132 CPP 9.0
ERBS G1220-V1lim                 TEMPLATE-BASED LTE ERBS MIM G.1.220 CPP 9.0
ERBS H1320-lim                   TEMPLATE-BASED LTE ERBS MIM H.1.320 CPP 9.0
ERBS H1351-lim                   TEMPLATE-BASED LTE ERBS MIM H.1.351 CPP 9.0
ERBS H999240-V5lim               TEMPLATE-BASED LTE ERBS MIM H.999.240 CPP 9.0
ERBS J180-lim                    TEMPLATE-BASED LTE ERBS MIM J.1.80 CPP 9.0
ERBS Z7301-UPGINDV1              TEMPLATE-BASED LTE ERBS MIM Z.7.301 CPP 9.0
ERBS Z8334-UPGINDV1              TEMPLATE-BASED LTE ERBS MIM Z.8.334 CPP 9.0
ERBS Z9334-UPGINDV1              TEMPLATE-BASED LTE ERBS MIM Z.9.334 CPP 9.0
LTE ERBS G1301-lim               ARCHIVED    LTE ERBS MIM G.1.301 CPP 9.0
LTE ERBS H1120-lim               ARCHIVED    LTE ERBS MIM H.1.120 CPP 9.0
LTE ERBS H1140-V1lim             ARCHIVED    LTE ERBS MIM H.1.140 CPP 9.0
LTE ERBS H1220-lim               ARCHIVED    LTE ERBS MIM H.1.220 CPP 9.0
LTE ERBS H1240-lim               ARCHIVED    LTE ERBS MIM H.1.240 CPP 9.0
LTE ERBS H1263-lim               ARCHIVED    LTE ERBS MIM H.1.263 CPP 9.0
LTE ERBS H180-lim                ARCHIVED    LTE ERBS MIM H.1.80 CPP 9.0
LTE ERBS J122-lim                ARCHIVED    LTE ERBS MIM J.1.22 CPP 9.0
LTE ERBS J140-lim                ARCHIVED    LTE ERBS MIM J.1.40 CPP 9.0
RBS S21100-lim                   TEMPLATE-BASED WCDMA RBS MIM S2.1.100 CPP 9.0
RBS U4210-lim                    TEMPLATE-BASED WCDMA RBS MIM U.4.210 CPP 9.0
RBS U4340-lim                    TEMPLATE-BASED WCDMA RBS MIM U.4.340 CPP 9.0
RBS U4460-lim                    TEMPLATE-BASED WCDMA RBS MIM U.4.460 CPP 9.0
RBS U4630-lim                    TEMPLATE-BASED WCDMA RBS MIM U.4.630 CPP 9.0
RNC V10304-lim                   TEMPLATE-BASED WCDMA RNC MIM V.10.304 CPP 9.0
RNC V6940-lim                    TEMPLATE-BASED WCDMA RNC MIM V.6.940 CPP 9.0
RNC V71659-lim                   TEMPLATE-BASED WCDMA RNC MIM V.7.1659 CPP 9.0
RNC V81349-lim                   TEMPLATE-BASED WCDMA RNC MIM V.8.1349 CPP 9.0
