>> .show netypes
The value DEPRECATED in the second column means that
the NE type is old and should no longer be used.
It is not shown by the Create NE dialogue in the GUI.

The value TEMPLATE-BASED in the second colum means that
the NE type has been created from a template.

If the NE type name starts with "TEMPLATE",
the NE type can only be used to create other NE types.
NE type templates are not shown by the Create NE
dialogue, but the NE types created from them are.

ACME 4-0                                     ACME 4.0
SPO1410 3-0-NMS                  TEMPLATE-BASED SPO 1410 R3.0
SPO1410 4-0                      TEMPLATE-BASED SPO 1410 R4.0
SPO1410 4-0-R14B-CP              TEMPLATE-BASED SPO 1410 14B-CP NM support
SPO1410 4-0-R14B-DP3             TEMPLATE-BASED SPO 1410 14B-DP3 support
SPO1410 4-0-R14B-SP2             TEMPLATE-BASED SPO 1410 R4.0
SPO1410 4-0-R16A036              TEMPLATE-BASED SPO 1410 R4.0
SPO1410 4-0-R16A061              TEMPLATE-BASED SPO 1410 R16A061 support
SPO1410 5-0-R16B                 TEMPLATE-BASED SPO 1410 R16B support
SPO1460 3-0                      DEPRECATED  SPO 1460 R3.0
SPO1460 3-0-NMS                  TEMPLATE-BASED SPO 1460 R3.0
SPO1460 4-0                      TEMPLATE-BASED SPO 1460 R4.0
SPO1460 4-0-R14B-CP-MPLS         TEMPLATE-BASED SPO 1460 R4.0
SPO1460 4-0-R14B-DP3             TEMPLATE-BASED SPO 1460 R4.0
SPO1460 4-0-R14B-MPLS            TEMPLATE-BASED SPO 1460 R14B NM support
SPO1460 4-0-R14B-NMS             TEMPLATE-BASED SPO 1460 R14B NM support
SPO1460 4-0-R14B-SDH             TEMPLATE-BASED SPO 1460 R14B NM support
SPO1460 4-0-R14B-SP2             TEMPLATE-BASED SPO 1460 R4.0
SPO1460 4-0-R16A045              TEMPLATE-BASED SPO 1460 R16A support
SPO1460 4-0-R16A061              TEMPLATE-BASED SPO 1460 R4.0
SPO1460 5-0-R16B                 TEMPLATE-BASED SPO 1460 R16B
SPO1480 1-0                      TEMPLATE-BASED SPO 1480 R1.0
SPO1485 1-0                      TEMPLATE-BASED SPO 1485 R1.0
SPO1485 1-1                      TEMPLATE-BASED SPO 1485 R1.1
SSR 420                          TEMPLATE-BASED SSR 420
SSR 8004                         TEMPLATE-BASED SSR 8004
SSR 8010                         TEMPLATE-BASED SSR 8010
SSR 8020                         TEMPLATE-BASED SSR 8020
TMUX 4-3                                     TMUX 4.3
Tellabs 8630                     TEMPLATE-BASED Tellabs 8630
vBNG R-3-1                       TEMPLATE-BASED vBNG R3.1
vBNG R3-1                        TEMPLATE-BASED vBNG R3.1
TEMPLATE CISCO ASR900                        CISCO ASR900
